# Simplified netlist  (638 components, 741 nets)
# source: c:\Users\me\Downloads\MB1939.net

== COMPONENTS ==
B1    SW_BLACK_KSC321JLFS KSC3  SWI_C&K_KSC321JLFS  Switch tactile
B2    SW_BLUE_KSC721JLFS KSC72  SWI_C&K_KSC721JLFS  Switch tactile
B4    SW_BLUE_KSC721JLFS KSC72  SWI_C&K_KSC721JLFS  Switch tactile
C1    Capacitor 22uF            C0603               Capacitor
C2    Capacitor 22uF            C0603               Capacitor
C3    Capacitor 100nF           C0402               Capacitor
C4    Capacitor 100nF           C0402               Capacitor
C5    Capacitor 100nF           C0402               Capacitor
C6    Capacitor 100nF           C0402               Capacitor
C7    Capacitor 100nF           C0402               Capacitor
C8    Capacitor 100nF           C0402               Capacitor
C9    Capacitor 22uF            C0603               Capacitor
C10   Capacitor 100nF           C0402               Capacitor
C11   Capacitor 100nF           C0402               Capacitor
C12   Capacitor 100nF           C0402               Capacitor
C13   Capacitor 100nF           C0402               Capacitor
C14   Capacitor 22uF            C0603               Capacitor
C15   Capacitor 220uF           C1206_H1P6          Capacitor
C16   Capacitor 10uF            C0603               Capacitor
C17   Capacitor 100nF           C0402               Capacitor
C18   Capacitor 100nF           C0402               Capacitor
C19   Capacitor 22uF            C0603               Capacitor
C20   Capacitor 22pF            C0402               Capacitor
C21   Capacitor 22uF            C0603               Capacitor
C22   Capacitor 22uF            C0603               Capacitor
C23   Capacitor 22uF            C0603               Capacitor
C24   Capacitor 1uF             C0402               Capacitor
C25   Capacitor 22uF            C0603               Capacitor
C26   Capacitor 22uF            C0603               Capacitor
C27   Capacitor 22uF            C0603               Capacitor
C28   Capacitor 100nF           C0201_MURATA_GRM03  Capacitor
C29   Capacitor 10uF            C0402               Capacitor
C30   Capacitor 100pF           C0402               Capacitor
C31   Capacitor 10uF            C0603               Capacitor
C32   Capacitor 10uF            C0603               Capacitor
C33   Capacitor 10nF            C0402               Capacitor
C34   Capacitor 4.7uF           C0402               Capacitor
C35   Capacitor 10uF            C0402               Capacitor
C36   Capacitor 100nF           C0201_MURATA_GRM03  Capacitor
C37   Capacitor 2.2nF           C0402               Capacitor
C38   Capacitor 1uF             C0201_MURATA_GRM03  Capacitor
C39   Capacitor 100nF           C0201_MURATA_GRM03  Capacitor
C40   Capacitor 100nF           C0201_MURATA_GRM03  Capacitor
C41   Capacitor 1uF             C0201_MURATA_GRM03  Capacitor
C42   Capacitor 22uF            C0603               Capacitor
C43   Capacitor 1uF             C0201_MURATA_GRM03  Capacitor
C44   Capacitor 1uF             C0201_MURATA_GRM03  Capacitor
C45   Capacitor 1uF             C0201_MURATA_GRM03  Capacitor
C46   Capacitor 100nF           C0201_MURATA_GRM03  Capacitor
C47   Capacitor 100nF           C0201_MURATA_GRM03  Capacitor
C48   Capacitor 100nF           C0201_MURATA_GRM03  Capacitor
C49   Capacitor 22uF            C0603               Capacitor
C50   Capacitor 100nF           C0201_MURATA_GRM03  Capacitor
C51   Capacitor 1uF             C0201_MURATA_GRM03  Capacitor
C52   Capacitor 100nF           C0201_MURATA_GRM03  Capacitor
C53   Capacitor 22uF            C0603               Capacitor
C54   Capacitor 100nF           C0201_MURATA_GRM03  Capacitor
