Reference,Value,Manufacturer Part Number,Footprint,Exclusion Reason
C12,DNP,DNP,Capacitor_SMD:C_0402_1005Metric,DNP
C24,DNP,DNP,Capacitor_SMD:C_0402_1005Metric,DNP
C25,DNP,DNP,Capacitor_SMD:C_0402_1005Metric,DNP
C26,DNP,DNP,Capacitor_SMD:C_0402_1005Metric,DNP
H4,MountingHole_Pad,,MountingHole:MountingHole_2.2mm_M2_Pad,exclude_from_bom
H5,MountingHole_Pad,,MountingHole:MountingHole_2.2mm_M2_Pad,exclude_from_bom
H6,MountingHole_Pad,,MountingHole:MountingHole_2.2mm_M2_Pad,exclude_from_bom
H7,MountingHole_Pad,,MountingHole:MountingHole_2.2mm_M2_Pad,exclude_from_bom
J5,TC2030,TC2030-IDC-NL (mating cable),Connector:Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical,exclude_from_bom
TP1,TestPoint,N/A (PCB test pad),TestPoint:TestPoint_Pad_D1.0mm,non-purchased PCB feature
TP2,TestPoint,N/A (PCB test pad),TestPoint:TestPoint_Pad_D1.0mm,non-purchased PCB feature
